input,gold_category,gold_priority,gold_escalation,raw_output,json_valid,required_fields_complete,category_correct,priority_correct,escalation_correct,predicted_category,predicted_priority,predicted_escalation
printer on our floor makes a weird clunk sound at the start of every job but still prints fine,Printer,Low,No escalation needed unless print quality is affected.,"{
  ""category"": ""Printer"",
  ""priority"": ""Low"",
  ""summary"": ""A printer on the floor produces a clunking noise at the start of each print job but functions correctly afterward."",
  ""troubleshooting"": [
    ""Inspect the paper path for any obstructions or loose parts"",
    ""Check the printer’s carriage for proper alignment"",
    ""Verify that the print head is not hitting the paper tray"",
    ""Clean the print head and rollers"",
    ""Update the printer firmware""
  ],
  ""escalation"": ""No escalation needed""
}",True,True,True,True,True,Printer,Low,No escalation needed
"new phone, old authenticator app is gone with it, cant get my codes for anything now",Account / Authentication,Medium,Escalate to Identity & Access Management if re-enrollment requires elevated approval.,"{""category"": ""Account / Authentication"", ""priority"": ""High"", ""summary"": ""User lost their authenticator app and cannot retrieve authentication codes for accessing accounts."", ""troubleshooting"": [""Reset the authenticator app on the new phone"", ""Use the backup method provided by the service (e.g., email, SMS)"", ""Contact the service provider for assistance if no backup method exists""], ""escalation"": ""Escalate to Identity & Access Management if the backup methods do not work.""}",True,True,True,False,True,Account / Authentication,High,Escalate to Identity & Access Management if the backup methods do not work.
"external hard drive makes a clicking noise when i plug it in and windows doesnt recognize it anymore, has some important project files on it",Hardware,Medium,Escalate to Desktop Support / Hardware immediately given the risk of data loss from a failing drive.,"{""category"": ""Hardware"", ""priority"": ""High"", ""summary"": ""External hard drive produces a clicking sound upon connection and is no longer recognized by Windows, containing critical project files."", ""troubleshooting"": [""Disconnect the drive and let it cool down for 10 minutes"", ""Run a disk check using chkdsk /f"", ""Try connecting to a different USB port"", ""Check for any recent software updates that might be causing the issue"", ""Use a third-party data recovery tool if the drive is not recognized""], ""escalation"": ""Escalate to Desktop Support / Hardware if the drive remains unreadable after initial checks.""}",True,True,True,False,True,Hardware,High,Escalate to Desktop Support / Hardware if the drive remains unreadable after initial checks.
"connected to vpn no problem, green checkmark and everything, but i still cant pull up the finance dashboard, just times out",VPN,Medium,Escalate to Network Operations if the specific application remains unreachable after DNS and routing checks.,"{""category"": ""VPN"", ""priority"": ""Medium"", ""summary"": ""User can connect to the VPN successfully but encounters timeout issues when trying to access the finance dashboard."", ""troubleshooting"": [""Verify the finance dashboard URL and port number"", ""Check firewall rules on both ends"", ""Test connectivity to the finance server from within the network"", ""Review logs for any errors related to the finance dashboard""], ""escalation"": ""Escalate to Network Operations if the issue persists after checking internal resources.""}",True,True,True,True,True,VPN,Medium,Escalate to Network Operations if the issue persists after checking internal resources.
"vpn app keeps popping up asking to update, i keep hitting remind me later, is that gonna break something eventually",VPN,Low,No escalation needed.,"{""category"": ""VPN"", ""priority"": ""Low"", ""summary"": ""User is repeatedly dismissing the update prompt on the VPN application and is concerned about potential issues."", ""troubleshooting"": [""Check for pending updates and install them"", ""Review update logs for any errors"", ""Disable automatic updates and manually check for updates"", ""Consult the application documentation for known issues related to dismissing updates""], ""escalation"": ""No escalation needed""}",True,True,True,True,True,VPN,Low,No escalation needed
"our department shares a printer password on a sticky note on the printer, i know thats probably not great practice just mentioning it",Security,Low,No escalation needed unless a policy violation review is warranted.,"{""category"": ""Printer"", ""priority"": ""Low"", ""summary"": ""The printer password is currently shared via a sticky note within the department."", ""troubleshooting"": [""Implement a secure method for sharing the printer password"", ""Educate users on the importance of secure password management""], ""escalation"": ""No escalation needed""}",True,True,False,True,True,Printer,Low,No escalation needed
"the whole legal team lost access to the contracts folder this morning, we have a signing deadline today and cant pull up any of the documents",File / Permissions,High,Escalate to Identity & Access Management; affects the entire team's access ahead of a signing deadline.,"{""category"": ""File / Permissions"", ""priority"": ""High"", ""summary"": ""Legal team lost access to the contracts folder preventing them from accessing necessary documents for today’s signing deadline."", ""troubleshooting"": [""Verify recent permission changes or group membership updates"", ""Check for any recent security group policy updates"", ""Review audit logs for any suspicious activity"", ""Restore previous permissions if available""], ""escalation"": ""Escalate to Security / Incident Response for further investigation if no immediate resolution is found.""}",True,True,True,True,False,File / Permissions,High,Escalate to Security / Incident Response for further investigation if no immediate resolution is found.
"phone case cracked when i dropped it, phone itself still works completely fine though",Mobile Device,Low,No escalation needed.,"{""category"": ""Hardware"", ""priority"": ""Low"", ""summary"": ""A phone case was damaged upon dropping the phone, while the phone functions normally."", ""troubleshooting"": [""Inspect the phone for any hidden damage"", ""Check if the case is loose and needs reattachment"", ""Review the drop incident to determine if the phone was impacted"", ""Replace the case if necessary""], ""escalation"": ""No escalation needed""}",True,True,False,True,True,Hardware,Low,No escalation needed
"antivirus keeps quarantining a script our team uses daily, we know its safe its just IT's own internal tool, can you whitelist it",Software,Medium,Escalate to Security / Incident Response if the flagged behavior needs review before allowlisting.,"{""category"": ""Security"", ""priority"": ""Medium"", ""summary"": ""Antivirus software is incorrectly quarantining an internal script used by the team, requiring whitelisting."", ""troubleshooting"": [""Identify the script's filename and file path"", ""Add the script to the antivirus whitelist"", ""Verify the script is not malicious by scanning it manually"", ""Check if the script has any recent changes that might trigger the antivirus""], ""escalation"": ""Escalate to Security / Incident Response if the script remains quarantined after whitelisting.""}",True,True,False,True,True,Security,Medium,Escalate to Security / Incident Response if the script remains quarantined after whitelisting.
"trying to use my webcam for a client call and zoom just shows a black screen, camera light is on though so its getting power at least",Software,Medium,"Escalate to Desktop Support / Hardware if the camera fails in all applications, not just Zoom.","{
  ""category"": ""Hardware"", 
  ""priority"": ""Medium"", 
  ""summary"": ""Zoom video calls show a black screen despite the camera light indicating it is powered on."", 
  ""troubleshooting"": [""Check if other applications can access the webcam"", ""Restart the computer and try again"", ""Update the webcam driver"", ""Check Zoom settings for camera permissions""], 
  ""escalation"": ""Escalate to Desktop Support / Hardware if the issue persists after these steps.""
}",True,True,False,True,True,Hardware,Medium,Escalate to Desktop Support / Hardware if the issue persists after these steps.
"forgot my pw again lol can someone reset, sorry for the hassle",Account / Authentication,Low,No escalation needed; standard password reset.,"{""category"": ""Account / Authentication"", ""priority"": ""Low"", ""summary"": ""User has forgotten their password and requests a reset."", ""troubleshooting"": [""Reset the password using the self-service portal"", ""Send a password reset email to the user"", ""Check if multi-factor authentication needs to be bypassed""], ""escalation"": ""No escalation needed""}",True,True,True,True,True,Account / Authentication,Low,No escalation needed
"company ipad got stolen out of a car overnight along with a bag of other stuff, police report filed, ipad has some client contact info synced to it",Mobile Device,Critical,Escalate to Security / Incident Response immediately due to theft of a device containing client data.,"{
  ""category"": ""Security"",
  ""priority"": ""High"",
  ""summary"": ""A company iPad was stolen from a car overnight, containing client contact information."",
  ""troubleshooting"": [
    ""Notify the IT department immediately"",
    ""Check if remote wipe capabilities are enabled on the device"",
    ""Update the police report with the device’s serial number"",
    ""Review recent login activities for any unauthorized access"",
    ""Change all related passwords and authentication factors""
  ],
  ""escalation"": ""Escalate to Security / Incident Response for further action.""
}",True,True,False,False,True,Security,High,Escalate to Security / Incident Response for further action.
"getting reports from like 6 different people that their desktop backgrounds got replaced with some weird message about their files, and file names look scrambled",Security,Critical,Escalate to Security / Incident Response immediately as a suspected ransomware incident.,"{
  ""category"": ""Security"",
  ""priority"": ""High"",
  ""summary"": ""Multiple users report their desktop backgrounds being replaced with a message about scrambled file names."",
  ""troubleshooting"": [
    ""Isolate affected machines from network"",
    ""Run antivirus scans on all affected machines"",
    ""Check for recent software updates or installations"",
    ""Review security logs for unusual activity"",
    ""Notify users to avoid clicking any links or downloading attachments""
  ],
  ""escalation"": ""Escalate to Security / Incident Response for further investigation.""
}",True,True,True,False,True,Security,High,Escalate to Security / Incident Response for further investigation.
"mouse cursor jumps around a little when i lift my hand off it, might just need cleaning idk",Hardware,Low,No escalation needed.,"{""category"": ""Hardware"", ""priority"": ""Low"", ""summary"": ""The mouse cursor jumps around briefly when the user lifts their hand off the mouse."", ""troubleshooting"": [""Clean the mouse and its surface"", ""Check for loose connections"", ""Update the mouse driver"", ""Test the mouse on another computer""], ""escalation"": ""No escalation needed""}",True,True,True,True,True,Hardware,Low,No escalation needed
"my laptop fan has been running non stop even when im not doing anything, and battery drains way faster than usual the last couple days. task manager shows something called 'svc_helper32' using a ton of CPU that i dont remember ever installing",Security,Medium,Escalate to Security / Incident Response if the scan confirms malware or the process is unrecognized.,"{
  ""category"": ""Software"",
  ""priority"": ""Medium"",
  ""summary"": ""Laptop fan runs continuously and battery drains quickly due to high CPU usage from an unknown process named 'svc_helper32'."",
  ""troubleshooting"": [
    ""Identify and end the 'svc_helper32' process."",
    ""Check for recent software installations or updates."",
    ""Run a malware scan to detect potential malicious activity."",
    ""Review system logs for any suspicious activity related to the process.""
  ],
  ""escalation"": ""Escalate to Security / Incident Response if the process is confirmed as malicious.""
}",True,True,False,True,True,Software,Medium,Escalate to Security / Incident Response if the process is confirmed as malicious.
