input,gold_category,gold_priority,gold_escalation,raw_output,json_valid,required_fields_complete,category_correct,priority_correct,escalation_correct,predicted_category,predicted_priority,predicted_escalation
"The font in QuickBooks looks a little small, can it be adjusted?",Software,Low,No escalation needed.,"{""category"": ""Software"", ""priority"": ""Low"", ""summary"": ""User finds the default font size in QuickBooks too small."", ""troubleshooting"": [""Check application display/zoom settings"", ""Adjust OS-level display scaling"", ""Confirm if the app has an accessibility font size option""], ""escalation"": ""No escalation needed.""}",True,True,True,True,True,Software,Low,No escalation needed.
"A file on the Marketing shared drive appears to be corrupted, it won't open.",File / Permissions,Medium,Escalate to Network Operations if backup and version history don't yield a usable copy.,"{""category"": ""File / Permissions"", ""priority"": ""Medium"", ""summary"": ""A file stored on the shared drive fails to open, suggesting corruption."", ""troubleshooting"": [""Try opening the file from a backup or version history"", ""Test opening the file on a different machine"", ""Check file size for signs of incomplete transfer""], ""escalation"": ""Escalate to Network Operations if backup and version history don't yield a usable copy.""}",True,True,True,True,True,File / Permissions,Medium,Escalate to Network Operations if backup and version history don't yield a usable copy.
"I can't connect to the North building Wi-Fi network from the Finance area, it says authentication failed.",Network / Wi-Fi,Medium,Escalate to Network Operations if authentication continues to fail after credential verification.,"{""category"": ""Network / Wi-Fi"", ""priority"": ""Medium"", ""summary"": ""User cannot authenticate to the North building wireless network."", ""troubleshooting"": [""Verify Wi-Fi password is current"", ""Forget network and reconnect with current credentials"", ""Confirm device certificate is valid"", ""Test with a different device on the same network""], ""escalation"": ""Escalate to Network Operations if authentication continues to fail after credential verification.""}",True,True,True,True,True,Network / Wi-Fi,Medium,Escalate to Network Operations if authentication continues to fail after credential verification.
I need a license for Zoom for the Finance team but I'm getting a 'no seats available' error.,Software,Medium,Escalate to Desktop Support / Hardware to procure or reassign a license seat.,"{""category"": ""Software"", ""priority"": ""Medium"", ""summary"": ""User is unable to activate Zoom due to no available license seats."", ""troubleshooting"": [""Check current license seat allocation and usage"", ""Confirm user's request was submitted through the correct process"", ""Identify inactive seats that can be reassigned""], ""escalation"": ""Escalate to Desktop Support / Hardware to procure or reassign a license seat.""}",True,True,True,True,True,Software,Medium,Escalate to Desktop Support / Hardware to procure or reassign a license seat.
I got a new phone and lost access to my MFA authenticator app for Marketing systems.,Account / Authentication,Medium,Escalate to Identity & Access Management if temporary bypass requires elevated approval.,"{""category"": ""Account / Authentication"", ""priority"": ""Medium"", ""summary"": ""User lost access to MFA due to a device change and needs authenticator re-enrollment."", ""troubleshooting"": [""Verify user identity per standard procedure"", ""Revoke old MFA device registration"", ""Issue temporary bypass code if policy allows"", ""Guide user through re-enrolling MFA on new device""], ""escalation"": ""Escalate to Identity & Access Management if temporary bypass requires elevated approval.""}",True,True,True,True,True,Account / Authentication,Medium,Escalate to Identity & Access Management if temporary bypass requires elevated approval.
VPN connects but I cannot access the Concur shared drive used by the Customer Support team.,VPN,Medium,Escalate to Network Operations if internal resources remain unreachable.,"{""category"": ""VPN"", ""priority"": ""Medium"", ""summary"": ""User can establish a VPN session but cannot access the internal file share for Concur."", ""troubleshooting"": [""Verify the VPN-assigned IP address"", ""Test internal DNS resolution"", ""Verify file-server connectivity"", ""Check user permissions""], ""escalation"": ""Escalate to Network Operations if internal resources remain unreachable.""}",True,True,True,True,True,VPN,Medium,Escalate to Network Operations if internal resources remain unreachable.
My Dell Latitude laptop has been showing random pop-up ads even when my browser is closed.,Security,Medium,Escalate to Security / Incident Response if the scan confirms malware presence.,"{""category"": ""Security"", ""priority"": ""Medium"", ""summary"": ""User's computer displays unexpected pop-up ads independent of browser activity, suggesting possible adware."", ""troubleshooting"": [""Run a full antivirus/anti-malware scan"", ""Check installed programs for unrecognized recent additions"", ""Review browser extensions for unauthorized additions""], ""escalation"": ""Escalate to Security / Incident Response if the scan confirms malware presence.""}",True,True,True,True,True,Security,Medium,Escalate to Security / Incident Response if the scan confirms malware presence.
My account keeps asking me to change my password even though I changed it last week in Engineering.,Account / Authentication,Low,No escalation needed unless prompt continues after cache clear.,"{""category"": ""Account / Authentication"", ""priority"": ""Low"", ""summary"": ""User is repeatedly prompted to change a password that was recently updated."", ""troubleshooting"": [""Check password expiration policy and last change date"", ""Verify password sync across all systems"", ""Clear cached credentials on the device""], ""escalation"": ""No escalation needed unless prompt continues after cache clear.""}",True,True,True,True,True,Account / Authentication,Low,No escalation needed unless prompt continues after cache clear.
I'm locked out of my account after too many failed login attempts on the Confluence portal.,Account / Authentication,Medium,No escalation needed if unlock resolves the issue immediately.,"{""category"": ""Account / Authentication"", ""priority"": ""Medium"", ""summary"": ""User's account is locked due to repeated failed login attempts."", ""troubleshooting"": [""Verify user identity per standard procedure"", ""Unlock account in identity management console"", ""Confirm user can log in successfully"", ""Advise user on correct credential entry going forward""], ""escalation"": ""No escalation needed if unlock resolves the issue immediately.""}",True,True,True,True,True,Account / Authentication,Medium,No escalation needed if unlock resolves the issue immediately.
Spilled coffee on my MacBook Pro keyboard and now several keys aren't responding. I'm on the Operations team.,Hardware,High,Escalate to Desktop Support / Hardware immediately for inspection and possible keyboard replacement.,"{""category"": ""Hardware"", ""priority"": ""High"", ""summary"": ""A liquid spill on the laptop keyboard has caused multiple keys to stop responding."", ""troubleshooting"": [""Power off the laptop immediately if not already off"", ""Do not attempt to power on until inspected"", ""Document affected keys for the repair ticket""], ""escalation"": ""Escalate to Desktop Support / Hardware immediately for inspection and possible keyboard replacement.""}",True,True,True,True,True,Hardware,High,Escalate to Desktop Support / Hardware immediately for inspection and possible keyboard replacement.
"Wi-Fi on floor 15 in the IT area feels a little slower than usual today, still usable.",Network / Wi-Fi,Low,No escalation needed unless slowdown persists beyond one business day.,"{""category"": ""Network / Wi-Fi"", ""priority"": ""Low"", ""summary"": ""User on floor 15 reports mildly reduced but usable Wi-Fi speed."", ""troubleshooting"": [""Run a speed test and compare to baseline"", ""Check for nearby network congestion"", ""Restart the wireless adapter""], ""escalation"": ""No escalation needed unless slowdown persists beyond one business day.""}",True,True,True,True,True,Network / Wi-Fi,Low,No escalation needed unless slowdown persists beyond one business day.
"I clicked a link in an email before realizing it looked suspicious, nothing seemed to happen on my Surface Laptop.",Security,Medium,Escalate to Security / Incident Response for review of the linked domain and device scan results.,"{""category"": ""Security"", ""priority"": ""Medium"", ""summary"": ""User clicked a suspicious email link but observed no immediate effect."", ""troubleshooting"": [""Disconnect the device from the network as a precaution"", ""Run a full malware scan"", ""Reset account password as a precaution"", ""Review the linked site/domain reputation""], ""escalation"": ""Escalate to Security / Incident Response for review of the linked domain and device scan results.""}",True,True,True,True,True,Security,Medium,Escalate to Security / Incident Response for review of the linked domain and device scan results.
"VPN is connected but none of our internal applications load, this is blocking the whole Customer Support team's work on floor 5.",VPN,High,Escalate to Network Operations due to broad application impact.,"{""category"": ""VPN"", ""priority"": ""High"", ""summary"": ""VPN session is active but internal applications are unreachable, blocking Customer Support team productivity."", ""troubleshooting"": [""Verify internal DNS resolution over VPN"", ""Check routing table pushed by VPN gateway"", ""Test access to a known internal application"", ""Confirm firewall rules for VPN subnet""], ""escalation"": ""Escalate to Network Operations due to broad application impact.""}",True,True,True,True,True,VPN,High,Escalate to Network Operations due to broad application impact.
"I can't connect to the Central building Wi-Fi network from the IT area, it says authentication failed.",Network / Wi-Fi,Medium,Escalate to Network Operations if authentication continues to fail after credential verification.,"{""category"": ""Network / Wi-Fi"", ""priority"": ""Medium"", ""summary"": ""User cannot authenticate to the Central building wireless network."", ""troubleshooting"": [""Verify Wi-Fi password is current"", ""Forget network and reconnect with current credentials"", ""Confirm device certificate is valid"", ""Test with a different device on the same network""], ""escalation"": ""Escalate to Network Operations if authentication continues to fail after credential verification.""}",True,True,True,True,True,Network / Wi-Fi,Medium,Escalate to Network Operations if authentication continues to fail after credential verification.
I need a license for Zoom but I'm getting a 'no seats available' error.,Software,Medium,Escalate to Desktop Support / Hardware to procure or reassign a license seat.,"{""category"": ""Software"", ""priority"": ""Medium"", ""summary"": ""User is unable to activate Zoom due to no available license seats."", ""troubleshooting"": [""Check current license seat allocation and usage"", ""Confirm user's request was submitted through the correct process"", ""Identify inactive seats that can be reassigned""], ""escalation"": ""Escalate to Desktop Support / Hardware to procure or reassign a license seat.""}",True,True,True,True,True,Software,Medium,Escalate to Desktop Support / Hardware to procure or reassign a license seat.
"My Dell Latitude laptop battery drains from full to dead in under two hours now, and I'm on the Engineering team.",Hardware,Medium,Escalate to Desktop Support / Hardware for battery replacement if health check confirms degradation.,"{""category"": ""Hardware"", ""priority"": ""Medium"", ""summary"": ""User's laptop battery life has degraded significantly, lasting under two hours."", ""troubleshooting"": [""Check battery health status in system settings"", ""Test with a different charger/power adapter"", ""Review recent high-CPU applications draining battery""], ""escalation"": ""Escalate to Desktop Support / Hardware for battery replacement if health check confirms degradation.""}",True,True,True,True,True,Hardware,Medium,Escalate to Desktop Support / Hardware for battery replacement if health check confirms degradation.
I got a new phone and lost access to my MFA authenticator app for Sales systems on floor 13.,Account / Authentication,Medium,Escalate to Identity & Access Management if temporary bypass requires elevated approval.,"{""category"": ""Account / Authentication"", ""priority"": ""Medium"", ""summary"": ""User lost access to MFA due to a device change and needs authenticator re-enrollment."", ""troubleshooting"": [""Verify user identity per standard procedure"", ""Revoke old MFA device registration"", ""Issue temporary bypass code if policy allows"", ""Guide user through re-enrolling MFA on new device""], ""escalation"": ""Escalate to Identity & Access Management if temporary bypass requires elevated approval.""}",True,True,True,True,True,Account / Authentication,Medium,Escalate to Identity & Access Management if temporary bypass requires elevated approval.
"My second monitor on floor 9 in Customer Support won't turn on, the first one works fine.",Hardware,Medium,Escalate to Desktop Support / Hardware if monitor does not power on with a known-good cable and outlet.,"{""category"": ""Hardware"", ""priority"": ""Medium"", ""summary"": ""User's secondary monitor fails to power on while the primary monitor functions normally."", ""troubleshooting"": [""Check power cable and outlet for the second monitor"", ""Test with a different video cable"", ""Try the monitor on a different port/computer""], ""escalation"": ""Escalate to Desktop Support / Hardware if monitor does not power on with a known-good cable and outlet.""}",True,True,True,True,True,Hardware,Medium,Escalate to Desktop Support / Hardware if monitor does not power on with a known-good cable and outlet.
Teams keeps freezing when I try to share my screen during Sales meetings.,Microsoft 365,Medium,Escalate to Microsoft 365 / Cloud Services if freezing persists after cache clear and update.,"{""category"": ""Microsoft 365"", ""priority"": ""Medium"", ""summary"": ""User's Teams client becomes unresponsive when attempting to share their screen."", ""troubleshooting"": [""Update Teams to the latest version"", ""Clear Teams cache and restart the app"", ""Test screen share in a different meeting"", ""Check for GPU/driver related Teams issues""], ""escalation"": ""Escalate to Microsoft 365 / Cloud Services if freezing persists after cache clear and update.""}",True,True,True,True,True,Microsoft 365,Medium,Escalate to Microsoft 365 / Cloud Services if freezing persists after cache clear and update.
"VPN connects fine but it's a bit slower than my home internet on floor 8 in Legal, is that normal?",VPN,Low,No escalation needed; expected behavior for VPN tunneling.,"{""category"": ""VPN"", ""priority"": ""Low"", ""summary"": ""User notices VPN throughput slower than direct internet, connection otherwise functional."", ""troubleshooting"": [""Run a speed test connected and disconnected from VPN"", ""Confirm VPN server location is closest available region"", ""Check for background bandwidth usage""], ""escalation"": ""No escalation needed; expected behavior for VPN tunneling.""}",True,True,True,True,True,VPN,Low,No escalation needed; expected behavior for VPN tunneling.
