input,gold_category,predicted_category,gold_priority,predicted_priority,gold_escalation,predicted_escalation,failure_type,raw_output
"new phone, old authenticator app is gone with it, cant get my codes for anything now",Account / Authentication,Mobile Device,Medium,Medium,Escalate to Identity & Access Management if re-enrollment requires elevated approval.,Escalate to Identity & Access Management if re-registration does not resolve access.,wrong_category,"{""category"": ""Mobile Device"", ""priority"": ""Medium"", ""summary"": ""User lost access to authenticator app codes after a device change."", ""troubleshooting"": [""Verify user identity per standard procedure"", ""Re-register the authenticator app on the new device"", ""Confirm user can log in with multi-factor authentication""], ""escalation"": ""Escalate to Identity & Access Management if re-registration does not resolve access.""}"
"external hard drive makes a clicking noise when i plug it in and windows doesnt recognize it anymore, has some important project files on it",Hardware,Storage,Medium,High,Escalate to Desktop Support / Hardware immediately given the risk of data loss from a failing drive.,Escalate to Desktop Support / Hardware for inspection and possible data recovery if recognition cannot be restored.,wrong_category;wrong_priority,"{""category"": ""Storage"", ""priority"": ""High"", ""summary"": ""User's external hard drive makes a clicking noise and is not recognized by Windows, potentially losing important project files."", ""troubleshooting"": [""Do not power the drive off; connect it in read-only mode if possible"", ""Check for a error message in Device Manager"", ""Try connecting to a different USB port""], ""escalation"": ""Escalate to Desktop Support / Hardware for inspection and possible data recovery if recognition cannot be restored.""}"
"our department shares a printer password on a sticky note on the printer, i know thats probably not great practice just mentioning it",Security,Printer,Low,Low,No escalation needed unless a policy violation review is warranted.,No escalation needed; good practice for password management.,wrong_category,"{""category"": ""Printer"", ""priority"": ""Low"", ""summary"": ""A shared printer password is stored on a physical sticky note."", ""troubleshooting"": [""Remove the sticky note and store the password electronically in the printer's settings"", ""Consider rotating the password every few months""], ""escalation"": ""No escalation needed; good practice for password management.""}"
"antivirus keeps quarantining a script our team uses daily, we know its safe its just IT's own internal tool, can you whitelist it",Software,Antivirus,Medium,Medium,Escalate to Security / Incident Response if the flagged behavior needs review before allowlisting.,Escalate to Security / Incident Response if the script needs to be allowlisted due to a false positive.,wrong_category,"{""category"": ""Antivirus"", ""priority"": ""Medium"", ""summary"": ""A team-favorite script is repeatedly quarantined by antivirus software despite being a known, internal tool."", ""troubleshooting"": [""Confirm the script is a known, internal tool"", ""Add an exception/allowlist entry for the script"", ""Re-run the script to verify it stays quarantined""], ""escalation"": ""Escalate to Security / Incident Response if the script needs to be allowlisted due to a false positive.""}"
"trying to use my webcam for a client call and zoom just shows a black screen, camera light is on though so its getting power at least",Software,Hardware,Medium,Medium,"Escalate to Desktop Support / Hardware if the camera fails in all applications, not just Zoom.",Escalate to Desktop Support / Hardware if issue persists across multiple apps.,wrong_category,"{""category"": ""Hardware"", ""priority"": ""Medium"", ""summary"": ""User's webcam appears black in Zoom despite the power indicator being on."", ""troubleshooting"": [""Check camera permissions in Zoom settings"", ""Test camera with a different video call app"", ""Check for a recent firmware update needed"", ""Try restarting the webcam device""], ""escalation"": ""Escalate to Desktop Support / Hardware if issue persists across multiple apps.""}"
"company ipad got stolen out of a car overnight along with a bag of other stuff, police report filed, ipad has some client contact info synced to it",Mobile Device,Mobile Device,Critical,High,Escalate to Security / Incident Response immediately due to theft of a device containing client data.,Escalate to Security / Incident Response immediately due to potential exposure of client information.,wrong_priority,"{""category"": ""Mobile Device"", ""priority"": ""High"", ""summary"": ""A work phone was stolen overnight from a vehicle along with other items, with synced client contact info potentially exposed."", ""troubleshooting"": [""Immediately issue a remote wipe command via MDM if the management console is accessible"", ""Revoke the device's access tokens"", ""Update the associated account password as a precaution""], ""escalation"": ""Escalate to Security / Incident Response immediately due to potential exposure of client information.""}"
"getting reports from like 6 different people that their desktop backgrounds got replaced with some weird message about their files, and file names look scrambled",Security,Desktop Support,Critical,High,Escalate to Security / Incident Response immediately as a suspected ransomware incident.,Escalate to Desktop Support / Hardware for urgent investigation; affects multiple users' primary work display.,wrong_category;wrong_priority;wrong_escalation,"{""category"": ""Desktop Support"", ""priority"": ""High"", ""summary"": ""Multiple users report their desktop backgrounds being replaced with a scrambled file name message."", ""troubleshooting"": [""Confirm scope of incident across all affected users"", ""Check for a recent group policy or login script change"", ""Test affected machines after background reset""], ""escalation"": ""Escalate to Desktop Support / Hardware for urgent investigation; affects multiple users' primary work display.""}"
"my laptop fan has been running non stop even when im not doing anything, and battery drains way faster than usual the last couple days. task manager shows something called 'svc_helper32' using a ton of CPU that i dont remember ever installing",Security,Hardware,Medium,Medium,Escalate to Security / Incident Response if the scan confirms malware or the process is unrecognized.,Escalate to Security / Incident Response if the unknown process is suspicious or unrelated to recent activity.,wrong_category,"{""category"": ""Hardware"", ""priority"": ""Medium"", ""summary"": ""User's laptop fan is running continuously with faster battery drain, attributed to an unknown CPU-intensive background process."", ""troubleshooting"": [""Identify the unknown background process ('svc_helper32') and research its origin"", ""Check for recent software updates or installations that may have introduced the process"", ""Temporarily disable the process to observe fan and battery behavior""], ""escalation"": ""Escalate to Security / Incident Response if the unknown process is suspicious or unrelated to recent activity.""}"
"not a big deal probably but i got an email saying my password was changed and i definitely didnt do that, still able to log in fine though so guessing it's nothing",Security,Account / Authentication,Critical,Low,Escalate to Security / Incident Response immediately as a suspected account compromise.,No escalation needed unless login fails after resetting.,wrong_category;wrong_priority;wrong_escalation,"{""category"": ""Account / Authentication"", ""priority"": ""Low"", ""summary"": ""User received a password change notification without triggering it."", ""troubleshooting"": [""Confirm current login ability with the notified account"", ""Reset password confirmation link in the notification"", ""Check last sign-in details for the account""], ""escalation"": ""No escalation needed unless login fails after resetting.""}"
"sso login just spins and spins on the loading screen, never actually logs me in, tried 3 times now",Account / Authentication,Identity and Access Management,Medium,Medium,Escalate to Identity & Access Management if the SSO provider itself is confirmed down.,Escalate to Identity Management if issue persists across multiple sign-in attempts.,wrong_category;wrong_escalation,"{""category"": ""Identity and Access Management"", ""priority"": ""Medium"", ""summary"": ""Single Sign-On login gets stuck indefinitely on the loading screen."", ""troubleshooting"": [""Check SSO ID token expiration"", ""Verify identity provider response"", ""Try a different browser or device"", ""Confirm application has valid SSO configuration""], ""escalation"": ""Escalate to Identity Management if issue persists across multiple sign-in attempts.""}"
"my display name is wrong in the directory, shows my old last name from before i got married, not urgent just want it fixed eventually",Account / Authentication,Directory / Permissions,Low,Low,No escalation needed.,No escalation needed; standard name change process.,wrong_category,"{""category"": ""Directory / Permissions"", ""priority"": ""Low"", ""summary"": ""User requests update of their display name in the directory to reflect a name change."", ""troubleshooting"": [""Verify user has submitted a name change request through HR/onboarding"", ""Confirm directory update will take effect after request is approved"", ""Update user's email signature and business cards pending directory change""], ""escalation"": ""No escalation needed; standard name change process.""}"
"phone keeps saying 'MDM profile needs attention' but when i tap it nothing happens, cant tell if something's actually wrong or not",Mobile Device,Mobile Device,Medium,Low,Escalate to Desktop Support / Hardware if the MDM console shows a real compliance failure.,No escalation needed unless notification persists after update.,wrong_priority;wrong_escalation,"{""category"": ""Mobile Device"", ""priority"": ""Low"", ""summary"": ""User's mobile device displays a persistent MDM profile notification with no actionable response."", ""troubleshooting"": [""Update device OS and app to latest version"", ""Manually apply the MDM profile via settings"", ""Confirm notification behavior after update""], ""escalation"": ""No escalation needed unless notification persists after update.""}"
"signature still says 'Sales Associate' but i got promoted to 'Senior Sales Associate' like 3 weeks ago, no rush",Microsoft 365,HR,Low,Low,No escalation needed.,No escalation needed.,wrong_category,"{""category"": ""HR"", ""priority"": ""Low"", ""summary"": ""User's job title in the signature does not match their recent promotion."", ""troubleshooting"": [""Update signature template in email client"", ""Verify current HR record of user's title"", ""Confirm signature update has been deployed""], ""escalation"": ""No escalation needed.""}"
