input,gold_category,gold_priority,gold_escalation,raw_output,json_valid,required_fields_complete,category_correct,priority_correct,escalation_correct,predicted_category,predicted_priority,predicted_escalation
"The font in QuickBooks looks a little small, can it be adjusted?",Software,Low,No escalation needed.,"{""category"": ""Software"", ""priority"": ""Low"", ""summary"": ""User requests adjustment of font size in QuickBooks."", ""troubleshooting"": [""Check QuickBooks settings for font size adjustments"", ""Review Windows display settings for scaling options"", ""Contact QuickBooks support for additional assistance""], ""escalation"": ""No escalation needed""}",True,True,True,True,True,Software,Low,No escalation needed
"A file on the Marketing shared drive appears to be corrupted, it won't open.",File / Permissions,Medium,Escalate to Network Operations if backup and version history don't yield a usable copy.,"{""category"": ""File / Permissions"", ""priority"": ""Medium"", ""summary"": ""A file on the Marketing shared drive is reported as corrupted and cannot be opened."", ""troubleshooting"": [""Check file permissions for the affected user"", ""Verify file integrity using checksum"", ""Restore the file from backup"", ""Recreate the file if backup is unavailable""], ""escalation"": ""Escalate to Security / Incident Response if the corruption is suspected to be malicious.""}",True,True,True,True,False,File / Permissions,Medium,Escalate to Security / Incident Response if the corruption is suspected to be malicious.
"I can't connect to the North building Wi-Fi network from the Finance area, it says authentication failed.",Network / Wi-Fi,Medium,Escalate to Network Operations if authentication continues to fail after credential verification.,"{
  ""category"": ""Network / Wi-Fi"",
  ""priority"": ""High"",
  ""summary"": ""Finance staff are unable to authenticate and connect to the North building Wi-Fi network."",
  ""troubleshooting"": [
    ""Verify the correct SSID is being used"",
    ""Check the password for accuracy"",
    ""Ensure the device is within range of the North building APs"",
    ""Clear the Wi-Fi cache on the device"",
    ""Restart the Wi-Fi adapter on the device""
  ],
  ""escalation"": ""Escalate to Network Operations if the issue persists after basic troubleshooting.""
}",True,True,True,False,True,Network / Wi-Fi,High,Escalate to Network Operations if the issue persists after basic troubleshooting.
I need a license for Zoom for the Finance team but I'm getting a 'no seats available' error.,Software,Medium,Escalate to Desktop Support / Hardware to procure or reassign a license seat.,"{""category"": ""Software"", ""priority"": ""Medium"", ""summary"": ""The Finance team is unable to obtain additional Zoom licenses due to a 'no seats available' error."", ""troubleshooting"": [""Verify the number of available Zoom seats in the account"", ""Check for any pending license requests"", ""Contact the software vendor for seat allocation status"", ""Review the organization’s license agreement for any restrictions""], ""escalation"": ""Escalate to Microsoft 365 / Cloud Services if the issue persists after checking account details.""}",True,True,True,True,False,Software,Medium,Escalate to Microsoft 365 / Cloud Services if the issue persists after checking account details.
I got a new phone and lost access to my MFA authenticator app for Marketing systems.,Account / Authentication,Medium,Escalate to Identity & Access Management if temporary bypass requires elevated approval.,"{""category"": ""Account / Authentication"", ""priority"": ""High"", ""summary"": ""Lost access to MFA authenticator app for Marketing systems after getting a new phone."", ""troubleshooting"": [""Reinstall the MFA app on the new phone"", ""Reset the MFA settings through the portal"", ""Contact the Helpdesk for assistance"", ""Check if there’s a backup method available""], ""escalation"": ""Escalate to Identity & Access Management if the issue persists.""}",True,True,True,False,True,Account / Authentication,High,Escalate to Identity & Access Management if the issue persists.
VPN connects but I cannot access the Concur shared drive used by the Customer Support team.,VPN,Medium,Escalate to Network Operations if internal resources remain unreachable.,"{""category"": ""VPN"", ""priority"": ""Medium"", ""summary"": ""User can establish a VPN session but cannot access the Concur shared drive used by the Customer Support team."", ""troubleshooting"": [""Verify the assigned IP address for the Concur server"", ""Test DNS resolution for the Concur server"", ""Check firewall rules on the Concur server"", ""Review user permissions on the Concur shared drive"", ""Ensure the correct network path is being used""], ""escalation"": ""Escalate to Network Operations if the issue persists after checking internal resources.""}",True,True,True,True,True,VPN,Medium,Escalate to Network Operations if the issue persists after checking internal resources.
My Dell Latitude laptop has been showing random pop-up ads even when my browser is closed.,Security,Medium,Escalate to Security / Incident Response if the scan confirms malware presence.,"{
  ""category"": ""Security"",
  ""priority"": ""High"",
  ""summary"": ""Random pop-up ads appear on a Dell Latitude laptop even when the browser is closed."",
  ""troubleshooting"": [
    ""Run a full system antivirus scan"",
    ""Check for and remove suspicious startup programs"",
    ""Disable any recently installed software"",
    ""Update all drivers and software to the latest versions"",
    ""Review recent changes or downloads that may have introduced malware""
  ],
  ""escalation"": ""Escalate to Security / Incident Response if the issue persists after these steps.""
}",True,True,True,False,True,Security,High,Escalate to Security / Incident Response if the issue persists after these steps.
My account keeps asking me to change my password even though I changed it last week in Engineering.,Account / Authentication,Low,No escalation needed unless prompt continues after cache clear.,"{""category"": ""Account / Authentication"", ""priority"": ""Medium"", ""summary"": ""User's account is repeatedly prompting for a password change despite having recently done so."", ""troubleshooting"": [""Clear browser cache and cookies"", ""Check for any multi-factor authentication (MFA) settings"", ""Verify local and domain account synchronization"", ""Review recent password change history""], ""escalation"": ""Escalate to Identity & Access Management if the issue persists after checking local settings.""}",True,True,True,False,False,Account / Authentication,Medium,Escalate to Identity & Access Management if the issue persists after checking local settings.
I'm locked out of my account after too many failed login attempts on the Confluence portal.,Account / Authentication,Medium,No escalation needed if unlock resolves the issue immediately.,"{""category"": ""Account / Authentication"", ""priority"": ""High"", ""summary"": ""User is locked out of their account due to multiple failed login attempts on the Confluence portal."", ""troubleshooting"": [""Reset the password using the 'Forgot password' link"", ""Contact the Helpdesk to unlock the account manually"", ""Check if there is a lockout policy in place""], ""escalation"": ""Escalate to Identity & Access Management for further investigation if the account remains locked out.""}",True,True,True,False,False,Account / Authentication,High,Escalate to Identity & Access Management for further investigation if the account remains locked out.
Spilled coffee on my MacBook Pro keyboard and now several keys aren't responding. I'm on the Operations team.,Hardware,High,Escalate to Desktop Support / Hardware immediately for inspection and possible keyboard replacement.,"{""category"": ""Hardware"", ""priority"": ""High"", ""summary"": ""Several keys on the MacBook Pro keyboard are non-responsive after a spill of coffee."", ""troubleshooting"": [""Shut down the MacBook Pro and remove the battery (if possible)"", ""Thoroughly clean the keyboard with compressed air and a damp cloth"", ""Check if the issue persists after restarting the device"", ""Inspect the keyboard for any visible damage"", ""Consider using a keyboard cleaning kit if the issue remains""], ""escalation"": ""Escalate to Desktop Support / Hardware if the keyboard issues persist after cleaning.""}",True,True,True,True,True,Hardware,High,Escalate to Desktop Support / Hardware if the keyboard issues persist after cleaning.
