input,gold_category,gold_priority,gold_escalation,baseline_category,fine_tuned_category,category_bucket,baseline_priority,fine_tuned_priority,priority_bucket,baseline_escalation_target,fine_tuned_escalation_target,escalation_bucket
printer on our floor makes a weird clunk sound at the start of every job but still prints fine,Printer,Low,No escalation needed unless print quality is affected.,Printer,Printer,both_correct,Low,Low,both_correct,No escalation needed,No escalation needed,both_correct
"new phone, old authenticator app is gone with it, cant get my codes for anything now",Account / Authentication,Medium,Escalate to Identity & Access Management if re-enrollment requires elevated approval.,Account / Authentication,Mobile Device,baseline_only,High,Medium,fine_tuned_only,Identity & Access Management,Identity & Access Management,both_correct
"external hard drive makes a clicking noise when i plug it in and windows doesnt recognize it anymore, has some important project files on it",Hardware,Medium,Escalate to Desktop Support / Hardware immediately given the risk of data loss from a failing drive.,Hardware,Storage,baseline_only,High,High,both_wrong,Desktop Support / Hardware,Desktop Support / Hardware,both_correct
"connected to vpn no problem, green checkmark and everything, but i still cant pull up the finance dashboard, just times out",VPN,Medium,Escalate to Network Operations if the specific application remains unreachable after DNS and routing checks.,VPN,VPN,both_correct,Medium,Medium,both_correct,Network Operations,Network Operations,both_correct
"vpn app keeps popping up asking to update, i keep hitting remind me later, is that gonna break something eventually",VPN,Low,No escalation needed.,VPN,VPN,both_correct,Low,Low,both_correct,No escalation needed,No escalation needed,both_correct
"our department shares a printer password on a sticky note on the printer, i know thats probably not great practice just mentioning it",Security,Low,No escalation needed unless a policy violation review is warranted.,Printer,Printer,both_wrong,Low,Low,both_correct,No escalation needed,No escalation needed,both_correct
"the whole legal team lost access to the contracts folder this morning, we have a signing deadline today and cant pull up any of the documents",File / Permissions,High,Escalate to Identity & Access Management; affects the entire team's access ahead of a signing deadline.,File / Permissions,File / Permissions,both_correct,High,High,both_correct,Security / Incident Response,Identity & Access Management,fine_tuned_only
"phone case cracked when i dropped it, phone itself still works completely fine though",Mobile Device,Low,No escalation needed.,Hardware,Mobile Device,fine_tuned_only,Low,Low,both_correct,No escalation needed,No escalation needed,both_correct
"antivirus keeps quarantining a script our team uses daily, we know its safe its just IT's own internal tool, can you whitelist it",Software,Medium,Escalate to Security / Incident Response if the flagged behavior needs review before allowlisting.,Security,Antivirus,both_wrong,Medium,Medium,both_correct,Security / Incident Response,Security / Incident Response,both_correct
"trying to use my webcam for a client call and zoom just shows a black screen, camera light is on though so its getting power at least",Software,Medium,"Escalate to Desktop Support / Hardware if the camera fails in all applications, not just Zoom.",Hardware,Hardware,both_wrong,Medium,Medium,both_correct,Desktop Support / Hardware,Desktop Support / Hardware,both_correct
"forgot my pw again lol can someone reset, sorry for the hassle",Account / Authentication,Low,No escalation needed; standard password reset.,Account / Authentication,Account / Authentication,both_correct,Low,Low,both_correct,No escalation needed,No escalation needed,both_correct
"company ipad got stolen out of a car overnight along with a bag of other stuff, police report filed, ipad has some client contact info synced to it",Mobile Device,Critical,Escalate to Security / Incident Response immediately due to theft of a device containing client data.,Security,Mobile Device,fine_tuned_only,High,High,both_wrong,Security / Incident Response,Security / Incident Response,both_correct
"getting reports from like 6 different people that their desktop backgrounds got replaced with some weird message about their files, and file names look scrambled",Security,Critical,Escalate to Security / Incident Response immediately as a suspected ransomware incident.,Security,Desktop Support,baseline_only,High,High,both_wrong,Security / Incident Response,Desktop Support / Hardware,baseline_only
"mouse cursor jumps around a little when i lift my hand off it, might just need cleaning idk",Hardware,Low,No escalation needed.,Hardware,Hardware,both_correct,Low,Low,both_correct,No escalation needed,No escalation needed,both_correct
"my laptop fan has been running non stop even when im not doing anything, and battery drains way faster than usual the last couple days. task manager shows something called 'svc_helper32' using a ton of CPU that i dont remember ever installing",Security,Medium,Escalate to Security / Incident Response if the scan confirms malware or the process is unrecognized.,Software,Hardware,both_wrong,Medium,Medium,both_correct,Security / Incident Response,Security / Incident Response,both_correct
"excel file synced from onedrive keeps showing an old version no matter how many times i save, super annoying mid project",Microsoft 365,Medium,Escalate to Microsoft 365 / Cloud Services if sync conflicts continue after a manual resync.,Microsoft 365,Microsoft 365,both_correct,Medium,Medium,both_correct,Microsoft 365 / Cloud Services,Microsoft 365 / Cloud Services,both_correct
the only printer that can do the big architectural drawings is down and we need to submit blueprints to the city by end of day,Printer,High,Escalate to Desktop Support / Hardware urgently due to the regulatory submission deadline.,Printer,Printer,both_correct,High,High,both_correct,Facilities,Desktop Support / Hardware,fine_tuned_only
"not a big deal probably but i got an email saying my password was changed and i definitely didnt do that, still able to log in fine though so guessing it's nothing",Security,Critical,Escalate to Security / Incident Response immediately as a suspected account compromise.,Account / Authentication,Account / Authentication,both_wrong,Low,Low,both_wrong,No escalation needed,No escalation needed,both_wrong
"notification badges on my work phone dont clear even after i read everything, kind of a minor annoyance",Mobile Device,Low,No escalation needed.,Mobile Device,Mobile Device,both_correct,Low,Low,both_correct,No escalation needed,No escalation needed,both_correct
"sso login just spins and spins on the loading screen, never actually logs me in, tried 3 times now",Account / Authentication,Medium,Escalate to Identity & Access Management if the SSO provider itself is confirmed down.,Account / Authentication,Identity and Access Management,baseline_only,High,Medium,fine_tuned_only,Identity & Access Management,(none matched),baseline_only
"my display name is wrong in the directory, shows my old last name from before i got married, not urgent just want it fixed eventually",Account / Authentication,Low,No escalation needed.,Account / Authentication,Directory / Permissions,baseline_only,Low,Low,both_correct,No escalation needed,No escalation needed,both_correct
"adobe keeps crashing whenever i try to export a pdf, worked fine last week, didnt change anything on my end that i know of",Software,Medium,Escalate to Desktop Support / Hardware if the crash persists after reinstalling.,Software,Software,both_correct,Medium,Medium,both_correct,Desktop Support / Hardware,Desktop Support / Hardware,both_correct
few of us on this floor noticed the printer app on our laptops shows the printer as 'offline' even though the light on it is green and other floors can print to it fine,Printer,Medium,Escalate to Network Operations if the printer's network segment is unreachable specifically from that floor.,Printer,Printer,both_correct,Medium,Medium,both_correct,Desktop Support / Hardware,Network Operations,fine_tuned_only
"whole 6th floor just lost wifi at the same time, like 15 of us in the meeting room right now w no internet, we have a client call starting in 10 min",Network / Wi-Fi,High,Escalate to Network Operations immediately due to the imminent client call and multiple affected users.,Network / Wi-Fi,Network / Wi-Fi,both_correct,High,High,both_correct,Network Operations,Network Operations,both_correct
"found a random usb stick on the parking garage floor, kind of curious what's on it, havent plugged it in yet though",Security,High,Escalate to Security / Incident Response for handling of the unidentified device.,Security,Security,both_correct,Low,High,fine_tuned_only,Security / Incident Response,Security / Incident Response,both_correct
"tablet wont hold a charge for more than like 2 hours now, used to last all day, battery replacement maybe?",Mobile Device,Medium,Escalate to Desktop Support / Hardware for battery replacement if the health check confirms degradation.,Hardware,Mobile Device,fine_tuned_only,Medium,Medium,both_correct,Desktop Support / Hardware,Desktop Support / Hardware,both_correct
"phone keeps saying 'MDM profile needs attention' but when i tap it nothing happens, cant tell if something's actually wrong or not",Mobile Device,Medium,Escalate to Desktop Support / Hardware if the MDM console shows a real compliance failure.,Mobile Device,Mobile Device,both_correct,Medium,Low,baseline_only,Desktop Support / Hardware,No escalation needed,baseline_only
"paper tray label fell off, still works fine just says 'tray' instead of 'tray 2' now lol",Printer,Low,No escalation needed.,Printer,Printer,both_correct,Low,Low,both_correct,No escalation needed,No escalation needed,both_correct
