input,gold_category,gold_priority,gold_escalation,raw_output,json_valid,required_fields_complete,category_correct,priority_correct,escalation_correct,predicted_category,predicted_priority,predicted_escalation
printer on our floor makes a weird clunk sound at the start of every job but still prints fine,Printer,Low,No escalation needed unless print quality is affected.,"{""category"": ""Printer"", ""priority"": ""Low"", ""summary"": ""A shared printer makes a distinctive noise at the start of each print job but functions correctly otherwise."", ""troubleshooting"": [""Open the printer and check for debris blocking the feed rollers"", ""Run the printer's built-in cleaning cycle"", ""Print a test page after cleaning to confirm""], ""escalation"": ""No escalation needed unless the noise becomes louder or affects print quality.""}",True,True,True,True,True,Printer,Low,No escalation needed unless the noise becomes louder or affects print quality.
"new phone, old authenticator app is gone with it, cant get my codes for anything now",Account / Authentication,Medium,Escalate to Identity & Access Management if re-enrollment requires elevated approval.,"{""category"": ""Mobile Device"", ""priority"": ""Medium"", ""summary"": ""User lost access to authenticator app codes after a device change."", ""troubleshooting"": [""Verify user identity per standard procedure"", ""Re-register the authenticator app on the new device"", ""Confirm user can log in with multi-factor authentication""], ""escalation"": ""Escalate to Identity & Access Management if re-registration does not resolve access.""}",True,True,False,True,True,Mobile Device,Medium,Escalate to Identity & Access Management if re-registration does not resolve access.
"external hard drive makes a clicking noise when i plug it in and windows doesnt recognize it anymore, has some important project files on it",Hardware,Medium,Escalate to Desktop Support / Hardware immediately given the risk of data loss from a failing drive.,"{""category"": ""Storage"", ""priority"": ""High"", ""summary"": ""User's external hard drive makes a clicking noise and is not recognized by Windows, potentially losing important project files."", ""troubleshooting"": [""Do not power the drive off; connect it in read-only mode if possible"", ""Check for a error message in Device Manager"", ""Try connecting to a different USB port""], ""escalation"": ""Escalate to Desktop Support / Hardware for inspection and possible data recovery if recognition cannot be restored.""}",True,True,False,False,True,Storage,High,Escalate to Desktop Support / Hardware for inspection and possible data recovery if recognition cannot be restored.
"connected to vpn no problem, green checkmark and everything, but i still cant pull up the finance dashboard, just times out",VPN,Medium,Escalate to Network Operations if the specific application remains unreachable after DNS and routing checks.,"{""category"": ""VPN"", ""priority"": ""Medium"", ""summary"": ""User can establish a VPN session but cannot access the internal finance dashboard."", ""troubleshooting"": [""Verify internal DNS resolution over VPN"", ""Check firewall rules for VPN subnet"", ""Test access to a different internal resource"", ""Confirm VPN client is fully connected""], ""escalation"": ""Escalate to Network Operations if internal resources remain unreachable.""}",True,True,True,True,True,VPN,Medium,Escalate to Network Operations if internal resources remain unreachable.
"vpn app keeps popping up asking to update, i keep hitting remind me later, is that gonna break something eventually",VPN,Low,No escalation needed.,"{""category"": ""VPN"", ""priority"": ""Low"", ""summary"": ""User is repeatedly dismissing the VPN app update notification."", ""troubleshooting"": [""Manually trigger the app update from settings"", ""Check for a desktop notification or email with the update link"", ""Confirm current VPN session isn't affected by the update""], ""escalation"": ""No escalation needed unless update is permanently skipped.""}",True,True,True,True,True,VPN,Low,No escalation needed unless update is permanently skipped.
"our department shares a printer password on a sticky note on the printer, i know thats probably not great practice just mentioning it",Security,Low,No escalation needed unless a policy violation review is warranted.,"{""category"": ""Printer"", ""priority"": ""Low"", ""summary"": ""A shared printer password is stored on a physical sticky note."", ""troubleshooting"": [""Remove the sticky note and store the password electronically in the printer's settings"", ""Consider rotating the password every few months""], ""escalation"": ""No escalation needed; good practice for password management.""}",True,True,False,True,True,Printer,Low,No escalation needed; good practice for password management.
"the whole legal team lost access to the contracts folder this morning, we have a signing deadline today and cant pull up any of the documents",File / Permissions,High,Escalate to Identity & Access Management; affects the entire team's access ahead of a signing deadline.,"{""category"": ""File / Permissions"", ""priority"": ""High"", ""summary"": ""An entire team has lost access to a shared folder with a time-sensitive deadline."", ""troubleshooting"": [""Verify the folder-level permissions, check if a recent change affected the team's access"", ""Test access with an admin account to isolate the cause"", ""Apply or reset the appropriate permission group""], ""escalation"": ""Escalate to Identity & Access Management; affects multiple users' time-sensitive access to shared files.""}",True,True,True,True,True,File / Permissions,High,Escalate to Identity & Access Management; affects multiple users' time-sensitive access to shared files.
"phone case cracked when i dropped it, phone itself still works completely fine though",Mobile Device,Low,No escalation needed.,"{""category"": ""Mobile Device"", ""priority"": ""Low"", ""summary"": ""User's phone case is cracked from a drop, but the device remains functional."", ""troubleshooting"": [""Document damage for insurance purposes"", ""Cover the crack with a temporary decal or tape""], ""escalation"": ""No escalation needed.""}",True,True,True,True,True,Mobile Device,Low,No escalation needed.
"antivirus keeps quarantining a script our team uses daily, we know its safe its just IT's own internal tool, can you whitelist it",Software,Medium,Escalate to Security / Incident Response if the flagged behavior needs review before allowlisting.,"{""category"": ""Antivirus"", ""priority"": ""Medium"", ""summary"": ""A team-favorite script is repeatedly quarantined by antivirus software despite being a known, internal tool."", ""troubleshooting"": [""Confirm the script is a known, internal tool"", ""Add an exception/allowlist entry for the script"", ""Re-run the script to verify it stays quarantined""], ""escalation"": ""Escalate to Security / Incident Response if the script needs to be allowlisted due to a false positive.""}",True,True,False,True,True,Antivirus,Medium,Escalate to Security / Incident Response if the script needs to be allowlisted due to a false positive.
"trying to use my webcam for a client call and zoom just shows a black screen, camera light is on though so its getting power at least",Software,Medium,"Escalate to Desktop Support / Hardware if the camera fails in all applications, not just Zoom.","{""category"": ""Hardware"", ""priority"": ""Medium"", ""summary"": ""User's webcam appears black in Zoom despite the power indicator being on."", ""troubleshooting"": [""Check camera permissions in Zoom settings"", ""Test camera with a different video call app"", ""Check for a recent firmware update needed"", ""Try restarting the webcam device""], ""escalation"": ""Escalate to Desktop Support / Hardware if issue persists across multiple apps.""}",True,True,False,True,True,Hardware,Medium,Escalate to Desktop Support / Hardware if issue persists across multiple apps.
